Index,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),Outlier,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,Log2-SiteEnergyUseWN(kBtu)
2246,2016,NonResidential,Distribution Center,2,GREATER DUWAMISH,1952,1.0,1.0,16300,0,16300,Distribution Center,65164.0,No Use,0.0,No Use,0.0,100.0,150167.7969,Normal,47.57227,-122.33843,1.6,0.1,17.19622554538333
2247,2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1964,1.0,1.0,33462,0,33462,Non-Refrigerated Warehouse,33462.0,No Use,0.0,No Use,0.0,1.0,1386445.375,Normal,47.57339,-122.33735,9.67,0.29,20.402960386193666
2248,2016,NonResidential,Mixed Use Property,2,GREATER DUWAMISH,1952,1.0,1.0,35310,0,35310,Other,10471.0,Non-Refrigerated Warehouse,9875.0,Refrigerated Warehouse,8877.0,,1519845.5,Normal,47.57506,-122.33862,44.68,1.27,20.53549419241969
2252,2016,NonResidential,Other,2,GREATER DUWAMISH,1962,1.0,3.0,36140,0,36140,Other,34733.0,No Use,0.0,No Use,0.0,,4653535.0,Normal,47.54089,-122.32323,32.44,0.9,22.149895937379203
2253,2016,NonResidential,Other,3,DOWNTOWN,1991,1.0,2.0,47963,21384,26579,Other - Mall,29640.0,Parking,6000.0,No Use,0.0,,8224244.0,Normal,47.59886,-122.31678,298.91,6.23,22.971451812336046
2254,2016,NonResidential,Warehouse,2,DOWNTOWN,1930,1.0,1.0,23903,0,23903,Non-Refrigerated Warehouse,18350.0,Worship Facility,4500.0,No Use,0.0,65.0,486884.9063,Normal,47.59774,-122.31936,14.37,0.6,18.89322421450703
2255,2016,NonResidential,Self-Storage Facility,4,NORTHEAST,1947,1.0,3.0,22522,0,22522,Self-Storage Facility,22522.0,No Use,0.0,No Use,0.0,,630412.625,Normal,47.67923,-122.31715,23.52,1.04,19.26593919023921
2256,2016,NonResidential,Self-Storage Facility,4,NORTHEAST,1996,1.0,4.0,38959,0,38959,Self-Storage Facility,38959.0,No Use,0.0,No Use,0.0,,963968.1875,Normal,47.67905,-122.31697,23.84,0.61,19.878627507042058
2259,2016,NonResidential,Warehouse,3,GREATER DUWAMISH,1928,1.0,2.0,25955,0,25955,Non-Refrigerated Warehouse,14150.0,Other - Services,8745.0,Office,3060.0,,1218112.0,Normal,47.5867,-122.30519,8.49,0.33,20.216216542451658
2270,2016,Campus,K-12 School,3,EAST,1923,1.0,4.0,46100,0,46100,K-12 School,46100.0,Parking,0.0,No Use,0.0,75.0,2412536.25,Normal,47.60776,-122.32481,78.19,1.7,21.202119787342358
